FoodName,Country,iso_n3,Continents,Description,Calories,Serving Type,Main Ingredients,Category,PreparationTime,PopularityRank
Tamales,Mexico,484,North America,Corn dough wrapped in leaves.,300,Hot,"Corn Dough, Meat, Spices",Snack,90,17
Samosa,India,356,Asia,Fried or baked pastry filled with potatoes.,250,Cold,"Potatoes, Spices, Pastry",Snack,60,18
Ceviche,Peru,604,South America,Seafood marinated in lime juice.,250,Cold,"Seafood, Lime, Onions",Snack,20,19
Koshari,Egypt,818,,"Egyptian mix of rice, lentils, and pasta.",550,Cold,"Rice, Lentils, Pasta, Tomato Sauce",Main Course,60,20
Vada Pav,India,356,Asia,Indian burger with spiced potato patty.,300,Cold,"Potato Patty, Bread, Spices",Snack,15,21
Hot Dogs,United States,840,North America,Grilled sausage in a bun.,300,Hot,"Sausage, Bun, Condiments",Main Course,15,22
Corn Dogs,United States,840,North America,Sausage on a stick coated in batter.,350,Hot,"Sausage, Cornmeal Batter",Snack,20,23
Takoyaki,Japan,392,Asia,Fried dough balls with octopus filling.,400,Hot,"Octopus, Batter, Bonito Flakes",Snack,30,24
Baklava,Turkey,792,Europe,Sweet layered pastry with nuts.,500,Cold,"Phyllo Dough, Nuts, Honey",Dessert,90,25
Khachapuri,Georgia,268,Europe,Cheese-filled bread.,600,Cold,"Cheese, Dough, Egg",Main Course,40,26
Okonomiyaki,Japan,392,Asia,Savory pancake with toppings.,500,Cold,"Cabbage, Batter, Egg, Meat, Seafood",Snack,30,27
Kimchi,Korea,410,Asia,Fermented cabbage dish.,100,Cold,"Cabbage, Chili, Garlic",Main Course,1200,28
Souvlaki,Greece,300,Europe,Grilled meat skewers.,450,Cold,"Meat, Skewers, Tzatziki",Snack,30,29
Chimichurri Sandwich,Argentina,032,South America,Steak sandwich with chimichurri sauce.,500,Cold,"Bread, Steak, Chimichurri Sauce",Main Course,25,30
Poutine,Canada,124,North America,Fries topped with cheese curds and gravy.,700,Cold,"Fries, Cheese Curds, Gravy",Main Course,25,31
Choripn,Argentina,032,South America,Sausage sandwich.,500,Cold,"Chorizo, Bread, Chimichurri Sauce",Main Course,20,32
Fried Plantains,Caribbean,,North America,Sweet fried bananas.,200,Cold,"Plantains, Oil, Spices",Snack,15,33
Poffertjes,Netherlands,528,Europe,Mini fluffy pancakes.,300,Hot,"Flour, Sugar, Butter",Dessert,30,34
Baozi,China,156,Asia,Steamed buns with meat.,400,Cold,"Dough, Meat, Vegetables",Snack,60,35
Lahmacun,Turkey,792,Europe,Thin crispy flatbread with toppings.,350,Cold,"Flatbread, Minced Meat, Spices",Main Course,20,36
Fish Tacos,Mexico,484,North America,Grilled fish in tortillas.,400,Hot,"Fish, Tortilla, Cabbage",Snack,25,37
Biryani,India,356,Asia,Spiced rice dish.,600,Hot,"Rice, Spices, Meat, Egg, Cottage Cheese, or Vegetables",Main Course,90,38
Huevos Rancheros,Mexico,484,North America,Eggs with salsa and tortillas.,400,Cold,"Eggs, Tortilla, Salsa",Snack,25,39
Cheesesteak,United States,840,North America,Beef sandwich with cheese.,800,Hot,"Beef, Cheese, Bread",Main Course,30,40
Sichuan Noodles,China,156,Asia,Spicy noodle soup.,550,Cold,"Noodles, Chili Oil, Pork",Main Course,30,41
Roti Canai,Malaysia,458,Asia,Flatbread with curry.,600,Cold,"Flatbread, Curry Sauce",Main Course,20,42
Gimbap,Korea,410,Asia,Seaweed rice rolls.,350,Cold,"Rice, Seaweed, Vegetables",Snack,30,43
Tamago Sushi,Japan,392,Asia,Egg sushi.,150,Cold,"Egg, Rice, Seaweed",Main Course,20,44
Baba Ganoush,Middle East,,Asia,Eggplant dip.,250,Cold,"Eggplant, Tahini, Garlic",Snack,25,45
Meat Pie,Australia,036,Oceania,Meat-filled pastry.,600,Hot,"Pastry, Meat, Gravy",Main Course,45,46
Murtabak,Malaysia,458,Asia,Stuffed flatbread.,700,Cold,"Flatbread, Meat, Spices",Main Course,40,47
Bubble Tea,Taiwan,158,Asia,Tea with chewy tapioca balls.,300,Cold,"Tea, Tapioca Pearls, Milk",Drink,15,48
Crepes,France,250,Europe,Thin pancakes.,400,Hot,"Flour, Eggs, Milk",Dessert,20,49
Halo Halo,Philippines,608,Asia,Shaved ice dessert.,500,Cold,"Shaved Ice, Sweet Beans, Fruits",Dessert,30,50
Chimichanga,Mexico,484,North America,Deep-fried burrito.,700,Cold,"Tortilla, Meat, Beans, Cheese",Main Course,30,51
Fried Rice,China,156,Asia,Stir-fried rice.,600,Hot,"Rice, Vegetables, Soy Sauce",Main Course,20,52
Frites,Belgium,056,Europe,Thick-cut fries.,500,Cold,"Potatoes, Oil, Salt",Snack,25,53
Khinkali,Georgia,268,Europe,Soup dumplings.,400,Cold,"Dough, Meat, Spices",Main Course,40,54
Mochi,Japan,392,Asia,Sticky rice cakes.,200,Cold,"Rice Flour, Sugar, Filling",Dessert,30,55
Currywurst,Germany,276,Europe,Grilled sausage with curry sauce.,600,Cold,"Sausage, Curry Sauce, Bread",Main Course,20,56
Ramen,Japan,392,Asia,Noodle soup.,450,Hot,"Noodles, Broth, Pork, Egg",Main Course,60,57
Croque Monsieur,France,250,Europe,Grilled ham and cheese sandwich.,700,Hot,"Bread, Ham, Cheese",Main Course,20,58
Chaat,India,356,Asia,Spiced snack mix.,300,Cold,"Puffed Rice, Potatoes, Spices, Yogurt",Snack,15,59
Arequipe,Colombia,170,South America,Sweet caramel spread.,400,Cold,"Milk, Sugar",Dessert,30,60
Pho Cuon,Vietnam,704,Asia,Fresh spring rolls.,250,Hot,"Rice Paper, Beef, Herbs",Snack,20,61
Pizza Margherita,Italy,380,Europe,Thin crust pizza with tomatoes.,600,Cold,"Dough, Tomato, Mozzarella",Main Course,30,62
Tortilla Espaola,Spain,724,Europe,Spanish potato omelette.,400,Cold,"Eggs, Potatoes, Onions",Snack,25,63
Picarones,Peru,604,South America,Fried dough with molasses.,500,Hot,"Sweet Potato, Flour, Syrup",Dessert,40,64
Hoppers,Sri Lanka,144,Asia,Crispy rice crepes.,300,Cold,"Rice Flour, Coconut Milk, Egg",Snack,20,65
Kare Kare,Philippines,608,Asia,Peanut stew.,700,Cold,"Oxtail, Peanut Sauce, Vegetables",Main Course,90,66
Kofta,India,356,Asia,Meatball curry.,500,Cold,"Minced Meat, Spices, Sauce",Main Course,40,68
Adobo,Philippines,608,Asia,Stewed meat with soy sauce.,600,Cold,"Meat, Soy Sauce, Vinegar, Garlic",Main Course,60,69
Shrimp Po' Boy,United States,840,North America,Fried shrimp sandwich.,269,Hot,"Shrimp, Bread, Sauce",Main Course,35,70
Hummus,Middle East,,Asia,Chickpea dip.,250,Cold,"Chickpeas, Tahini, Garlic",Snack,15,71
Pavlova,New Zealand,554,Oceania,Pavlova cake.,400,Cold,"Egg Whites, Sugar, Fruits",Dessert,60,72
Raita,India,356,Asia,Yogurt-based side dish.,150,Cold,"Yogurt, Cucumber, Spices",Side Dish,10,73
Kulfi,India,356,Asia,Indian ice cream.,250,Cold,"Milk, Sugar, Nuts",Dessert,240,74
Gumbo,United States,840,North America,Seafood stew.,600,Cold,"Sausage, Seafood, Okra, Rice",Main Course,120,75
Cassava Cake,Caribbean,,North America,Cassava-based dessert.,500,Hot,"Cassava, Coconut Milk, Sugar",Dessert,60,76
Tarte Tatin,France,250,Europe,Upside-down caramelized apple pie.,600,Cold,"Apples, Sugar, Pastry",Dessert,45,77
Fish And Chips,United Kingdom,,Europe,Crispy fried fish with fries.,800,Hot,"Fish, Potatoes, Batter",Main Course,25,78
Sinigang,Philippines,608,Asia,Sour tamarind soup.,400,Hot,"Pork, Tamarind, Vegetables",Snack,60,79
Escargot,France,250,Europe,Snails cooked in garlic butter.,300,Cold,"Snails, Garlic Butter",Main Course,30,80
Tagine,Morocco,504,Africa,Moroccan slow-cooked stew.,600,Cold,"Meat, Vegetables, Spices",Main Course,120,81
Sate Padang,Indonesia,360,Asia,Spicy skewered meat.,500,Hot,"Meat, Spicy Sauce, Skewers",Main Course,30,82
Polenta,Italy,380,Europe,Boiled cornmeal dish.,300,Cold,"Cornmeal, Butter, Cheese",Snack,30,83
Bibimbap,Korea,410,Asia,Mixed rice bowl.,650,Hot,"Rice, Vegetables, Meat",Main Course,40,84
Pulled Pork Sandwich,United States,840,North America,Bbq pork sandwich.,700,Hot,"Pork, Bread, BBQ Sauce",Main Course,120,85
Pesto Pasta,Italy,380,Europe,Basil-flavored pasta.,550,Cold,"Pasta, Basil, Parmesan",Main Course,20,86
Arancini,Italy,380,Europe,Stuffed rice balls.,500,Cold,"Rice, Cheese, Meat",Snack,45,87
Bao Buns,China,156,Asia,Steamed buns.,600,Hot,"Dough, Meat, Pickles",Main Course,60,88
Malpua,India,356,Asia,Sweet fried pancakes.,450,Cold,"Flour, Milk, Sugar, Syrup",Dessert,30,89
Rasgulla,India,356,Asia,Sweet cheese dessert.,300,Cold,"Cheese, Sugar Syrup",Dessert,60,90
Biryani Wraps,India,356,Asia,Rice and meat wraps.,650,Hot,"Rice, Meat, Spices, Flatbread",Main Course,45,91
Tikka Rolls,India,356,Asia,Spiced meat rolls.,500,Hot,"Chicken, Spices, Flatbread",Main Course,30,92
Shabu Shabu,Japan,392,Asia,Hot pot dish.,600,Cold,"Beef, Vegetables, Broth",Main Course,60,93
Stuffed Paratha,India,356,Asia,Stuffed flatbread.,600,Hot,"Wheat Flour, Spiced Filling",Main Course,30,94
Momo,Nepal,524,Asia,Steamed dumplings.,400,Cold,"Dough, Meat, Spices",Snack,40,95
Onigiri,Japan,392,Asia,Rice balls.,200,Cold,"Rice, Seaweed, Filling",Snack,20,96
Katsu Curry,Japan,392,Asia,Breaded chicken curry.,800,Hot,"Chicken, Curry Sauce, Rice",Main Course,45,97
Tteokbokki,Korea,410,Asia,Spicy rice cakes.,550,Hot,"Rice Cakes, Chili Sauce",Main Course,30,98
Mapo Tofu,China,156,Asia,Tofu in spicy sauce.,600,Hot,"Tofu, Chili Sauce, Minced Meat",Main Course,30,99
Laksa,Malaysia,458,Asia,Spicy noodle soup.,700,Hot,"Noodles, Coconut Milk, Seafood",Main Course,40,100
Chili Crab,Singapore,702,Asia,Chili-flavored crab.,800,Hot,"Crab, Chili Sauce, Egg",Main Course,45,101
Apple Pie,United States,840,North America,Sweet baked pastry.,500,Hot,"Apples, Sugar, Pastry",Dessert,60,102
